Level FolderNum Image TilesX TilesY
20 875158 451525.png 195323.152 2680087.229
20 875158 451526.png 195323.018 2680052.553
20 875158 451527.png 195322.884 2680017.877
20 875158 451528.png 195322.75 2679983.201
20 875158 451529.png 195322.617 2679948.525
20 875158 451530.png 195322.483 2679913.849
20 875158 451531.png 195322.349 2679879.172
20 875158 451532.png 195322.216 2679844.496
20 875158 451533.png 195322.082 2679809.82
20 875158 451534.png 195321.948 2679775.143
20 875158 451535.png 195321.815 2679740.467
20 875158 451536.png 195321.681 2679705.79
20 875158 451537.png 195321.547 2679671.113
20 875158 451538.png 195321.414 2679636.436
20 875158 451539.png 195321.28 2679601.759
20 875158 451540.png 195321.146 2679567.082
20 875158 451541.png 195321.013 2679532.405
20 875158 451542.png 195320.879 2679497.728
20 875158 451543.png 195320.745 2679463.051
20 875158 451544.png 195320.612 2679428.374
20 875158 451545.png 195320.478 2679393.696
20 875158 451546.png 195320.344 2679359.019
20 875158 451547.png 195320.211 2679324.341
20 875158 451548.png 195320.077 2679289.663
20 875158 451549.png 195319.943 2679254.986
20 875158 451550.png 195319.81 2679220.308
20 875158 451551.png 195319.676 2679185.63
20 875158 451552.png 195319.542 2679150.952
20 875158 451553.png 195319.409 2679116.274
20 875158 451554.png 195319.275 2679081.596
20 875158 451555.png 195319.141 2679046.917
20 875158 451556.png 195319.008 2679012.239
20 875158 451557.png 195318.874 2678977.561
20 875158 451558.png 195318.74 2678942.882
20 875158 451559.png 195318.607 2678908.203
